x1,y1,x2,y2
44,94,93,158
44,160,93,220
44,256,93,319
44,321,93,381

151,94,195,158
151,160,195,220
151,256,195,319
151,321,195,381

197,94,244,158
197,160,244,220
197,256,244,319
197,321,244,381

301,94,346,158
301,160,346,220
301,256,346,319
301,321,346,381

350,94,394,158
350,160,394,220
350,256,394,319
350,321,394,381

452,94,497,158
452,160,497,220
452,256,497,319
452,321,497,381

572,94,619,158
572,160,619,220
572,222,619,284
572,286,619,348

626,94,672,158
626,160,672,220
626,222,672,284
626,286,672,348

746,94,792,158
746,160,792,220
746,256,792,319
746,321,792,381

849,94,894,158
849,160,894,220
849,256,894,319
849,321,894,381

898,94,942,158
898,160,942,220
898,256,942,319
898,321,942,381

1000,94,1044,158
1000,160,1044,220
1000,256,1044,319
1000,321,1044,381

1155,137,1216,183
1155,238,1216,283
1155,338,1216,383

1220,137,1280,183
1220,238,1280,288
1220,338,1280,383

1798,94,1845,153
1798,157,1845,213
1798,217,1845,274


1345,94,1390,158
1345,160,1390,220
1345,224,1390,283
1345,290,1390,340

1440,94,1485,157
1440,159,1485,220
1440,224,1485,283
1440,284,1485,344

1552,94,1613,143
1552,197,1613,243
1552,296,1613,342

1675,97,1735,140
1675,195,1735,242
1675,295,1735,340
